onset	duration	sample	value	event_code	feedback
0	n/a	0	break cnt	break cnt	n/a
39.694	n/a	19847	contrastChangeB2_start	95	n/a
50.012	n/a	25006	contrastTrial_start	5	n/a
52.834	n/a	26417	right_target	9	n/a
54.918	n/a	27459	right_buttonPress	13	smiley_face
55.284	n/a	27642	contrastTrial_start	5	n/a
58.084	n/a	29042	left_target	8	n/a
59.776	n/a	29888	left_buttonPress	12	smiley_face
60.504	n/a	30252	contrastTrial_start	5	n/a
66.504	n/a	33252	right_target	9	n/a
67.994	n/a	33997	left_buttonPress	12	sad_face
68.924	n/a	34462	contrastTrial_start	5	n/a
74.924	n/a	37462	left_target	8	n/a
77.034	n/a	38517	left_buttonPress	12	smiley_face
77.344	n/a	38672	contrastTrial_start	5	n/a
83.346	n/a	41673	right_target	9	n/a
85.276	n/a	42638	right_buttonPress	13	smiley_face
85.764	n/a	42882	contrastTrial_start	5	n/a
91.766	n/a	45883	left_target	8	n/a
93.094	n/a	46547	left_buttonPress	12	smiley_face
94.184	n/a	47092	contrastTrial_start	5	n/a
98.584	n/a	49292	left_target	8	n/a
100.304	n/a	50152	left_buttonPress	12	smiley_face
101.004	n/a	50502	contrastTrial_start	5	n/a
103.814	n/a	51907	right_target	9	n/a
106.196	n/a	53098	right_buttonPress	13	smiley_face
106.234	n/a	53117	contrastTrial_start	5	n/a
112.236	n/a	56118	right_target	9	n/a
114.156	n/a	57078	right_buttonPress	13	smiley_face
114.654	n/a	57327	contrastTrial_start	5	n/a
119.054	n/a	59527	right_target	9	n/a
120.804	n/a	60402	right_buttonPress	13	smiley_face
121.474	n/a	60737	contrastTrial_start	5	n/a
125.874	n/a	62937	right_target	9	n/a
127.504	n/a	63752	right_buttonPress	13	smiley_face
128.296	n/a	64148	contrastTrial_start	5	n/a
131.094	n/a	65547	right_target	9	n/a
132.474	n/a	66237	right_buttonPress	13	smiley_face
133.514	n/a	66757	contrastTrial_start	5	n/a
137.916	n/a	68958	left_target	8	n/a
139.246	n/a	69623	left_buttonPress	12	smiley_face
140.334	n/a	70167	contrastTrial_start	5	n/a
144.734	n/a	72367	right_target	9	n/a
146.486	n/a	73243	right_buttonPress	13	smiley_face
147.156	n/a	73578	contrastTrial_start	5	n/a
153.154	n/a	76577	right_target	9	n/a
154.964	n/a	77482	right_buttonPress	13	smiley_face
155.574	n/a	77787	contrastTrial_start	5	n/a
159.974	n/a	79987	right_target	9	n/a
161.644	n/a	80822	right_buttonPress	13	smiley_face
162.396	n/a	81198	contrastTrial_start	5	n/a
165.196	n/a	82598	right_target	9	n/a
166.734	n/a	83367	right_buttonPress	13	smiley_face
167.614	n/a	83807	contrastTrial_start	5	n/a
170.414	n/a	85207	left_target	8	n/a
171.894	n/a	85947	left_buttonPress	12	smiley_face
172.836	n/a	86418	contrastTrial_start	5	n/a
175.634	n/a	87817	left_target	8	n/a
177.174	n/a	88587	left_buttonPress	12	smiley_face
178.056	n/a	89028	contrastTrial_start	5	n/a
182.464	n/a	91232	left_target	8	n/a
184.166	n/a	92083	left_buttonPress	12	smiley_face
184.886	n/a	92443	contrastTrial_start	5	n/a
187.684	n/a	93842	left_target	8	n/a
189.244	n/a	94622	left_buttonPress	12	smiley_face
190.104	n/a	95052	contrastTrial_start	5	n/a
194.506	n/a	97253	left_target	8	n/a
196.774	n/a	98387	left_buttonPress	12	smiley_face
196.924	n/a	98462	contrastTrial_start	5	n/a
202.924	n/a	101462	left_target	8	n/a
204.794	n/a	102397	left_buttonPress	12	smiley_face
205.346	n/a	102673	contrastTrial_start	5	n/a
211.346	n/a	105673	left_target	8	n/a
213.686	n/a	106843	left_buttonPress	12	smiley_face
213.766	n/a	106883	contrastTrial_start	5	n/a
220.304	n/a	110152	break cnt	break cnt	n/a
252.53	n/a	126265	9999	9999	n/a
